DATESTR,DATENUM,TYPE,DEPENDENCE,LON,LAT,DEP,LOCSRC,PREFMW,PREFMWSRC,PREFMS,PREFMSSRC,PREFmb,PREFmbSRC,PREFML,PREFMLSRC,MLREG,REVML,MX_ORIGML,MX_TYPE,MX_REVML,MX_REVMLTYPE,MX_REVMLSRC,MS2MW,mb2MW,ML2MW,PREFMW,PREFMWSRC,COMM
1997-08-10 09:20:33,729612.3893,local,2,124.333,-16.159,20,EHB,6.2,GCMT,5.9,AUST,5.8,AUST,6,AUST,WA,NaN,6.20,MW,6.20,MW,GCMT,5.96,5.79,5.78,6.20,GCMT,"Collier Bay; WA"
2010-07-30 21:29:24,734349.8954,local,2,138.149,-32.253,19.1,ADE,3.78,Ghasemi et al (2016),3.46,AUST,NaN,,4.17,AUST,SA,NaN,3.78,MW,3.78,MW,Ghasemi et al (2016),4.24,NaN,4.12,3.78,Ghasemi et al (2016),"NE of Quorn; SA"
2010-10-10 02:30:19,734421.1044,local,2,139.852,-32.913,5.4,ADE,4.06,Ghasemi et al (2016),3.59,AUST,NaN,,4.13,AUST,SA,NaN,4.06,MW,4.06,MW,Ghasemi et al (2016),4.31,NaN,4.09,4.06,Ghasemi et al (2016),"SE of Yunta; SA"
2011-07-05 01:32:11,734689.064,local,0,145.869,-38.416,8.8,MEL,4.1,Ghasemi et al (2016),4.3,AUST,NaN,,4.47,Allen (unpublished),SEA,NaN,4.10,MW,4.10,MW,Ghasemi et al (2016),4.73,NaN,4.37,4.10,Ghasemi et al (2016),"4.4 km ENE of Korumburra; Vic"
2012-03-23 09:25:12,734951.3925,local,2,131.971,-26.178,10,GG,5.18,Ghasemi et al (2016),5.51,AUST,5.6,GG,5.7,AUST,WA,NaN,5.18,MW,5.18,MW,Ghasemi et al (2016),5.63,5.55,5.49,5.18,Ghasemi et al (2016),"20 km NW of Pukatja (Ernabella); SA"
2012-06-08 11:31:03,735028.4799,local,2,150.521,-30.805,17,GG,3.99,Ghasemi et al (2016),3.81,AUST,NaN,,4.33,Allen (unpublished),SEA,NaN,3.99,MW,3.99,MW,Ghasemi et al (2016),4.43,NaN,4.26,3.99,Ghasemi et al (2016),"9 km N of Keepit Dam; NSW"
2012-06-19 10:53:29,735039.4538,local,2,146.29,-38.259,18.06,GG,5,Allen (2018; in prep),5.21,AUST,NaN,,5.35,Allen (unpublished),SEA,NaN,5.00,MW,5.00,MW,Allen (2018; in prep),5.38,NaN,5.16,5.00,Allen (2018; in prep),"10.5 km ENE of Thorpdale; Vic"
2012-07-20 09:11:30,735070.383,local,0,146.215,-38.231,12.41,GG,4.37,Ghasemi et al (2016),4.07,AUST,NaN,,4.4,Allen (unpublished),SEA,NaN,4.37,MW,4.37,MW,Ghasemi et al (2016),4.58,NaN,4.31,4.37,Ghasemi et al (2016),"7.3 km NNE of Thorpdale; Vic"
2012-11-28 22:35:22,735201.9412,local,1,125.943,-27.757,0,AUST,3.89,Ghasemi et al (2016),3.63,AUST,NaN,,3.95,AUST,WA,NaN,3.89,MW,3.89,MW,Ghasemi et al (2016),4.33,NaN,3.94,3.89,Ghasemi et al (2016),"192 km SSW of Warburton; WA"
2013-06-09 14:22:12,735394.5988,local,2,132.23,-25.953,33.4,ADE,5.38,Ghasemi et al (2016),5.46,AUST,NaN,,5.7,AUST,WA,NaN,5.38,MW,5.38,MW,Ghasemi et al (2016),5.59,NaN,5.49,5.38,Ghasemi et al (2016),"59 km E of Mulga Park; NT"
2013-07-18 11:39:11,735433.4855,local,1,133.885,-19.821,10,AUST,3.98,Ghasemi et al (2016),3.9,AUST,NaN,,4.21,AUST,WA,NaN,3.98,MW,3.98,MW,Ghasemi et al (2016),4.48,NaN,4.16,3.98,Ghasemi et al (2016),"37 km SW of Tennant Creek; NT"
2014-02-26 00:00:07,735656.0001,local,2,121.187,-30.679,0,AUST,4.32,Ghasemi et al (2016),4.31,AUST,NaN,,4.57,AUST,WA,NaN,4.32,MW,4.32,MW,Ghasemi et al (2016),4.74,NaN,4.46,4.32,Ghasemi et al (2016),"29 km WNW of Kalgoorlie; WA"
2014-04-29 09:54:56,735718.4132,local,2,139.559,-32.816,2.8,ADE,4.12,Ghasemi et al (2016),4.05,AUST,NaN,,4.72,AUST,SA,NaN,4.12,MW,4.12,MW,Ghasemi et al (2016),4.57,NaN,4.59,4.12,Ghasemi et al (2016),"26 km S of Yunta; SA"
2014-05-04 22:37:54,735723.943,local,1,128.589,-23.005,10,AUST,3.91,Ghasemi et al (2016),3.42,AUST,NaN,,3.64,AUST,WA,NaN,3.91,MW,3.91,MW,Ghasemi et al (2016),4.22,NaN,3.70,3.91,Ghasemi et al (2016),"40 km S of Lake Mackay; WA"
2014-09-01 23:01:33,735843.9594,local,1,133.872,-19.942,5,AUST,3.9,Ghasemi et al (2016),3.43,AUST,NaN,,3.85,AUST,WA,NaN,3.90,MW,3.90,MW,Ghasemi et al (2016),4.22,NaN,3.86,3.90,Ghasemi et al (2016),"47 km SW of Tennant Creek; NT"
2014-09-26 15:38:16,735868.6516,local,1,119.534,-20.1,10,AUST,4.02,Ghasemi et al (2016),3.97,AUST,4.61,AUST,4.16,AUST,WA,NaN,4.02,MW,4.02,MW,Ghasemi et al (2016),4.52,4.36,4.11,4.02,Ghasemi et al (2016),"103 km ENE of Port Hedland; WA"
2014-10-31 19:15:25,735903.8024,local,1,121.232,-30.815,10,AUST,3.88,Ghasemi et al (2016),3.72,AUST,4.48,AUST,4.22,AUST,WA,NaN,3.88,MW,3.88,MW,Ghasemi et al (2016),4.38,4.20,4.16,3.88,Ghasemi et al (2016),"17 km NNE of Coolgardie; WA"
2015-10-13 06:54:56,736250.2881,local,1,120.751,-22.569,13,AUST,4.08,Ghasemi et al (2016),4,AUST,4.44,AUST,4.44,AUST,WA,NaN,4.08,MW,4.08,MW,Ghasemi et al (2016),4.54,4.15,4.35,4.08,Ghasemi et al (2016),"100 km SE of Nullagine; Pilbara; WA"
2015-11-03 01:07:44,736271.047,local,1,133.938,-19.784,11,AUST,3.96,Ghasemi et al (2016),3.54,AUST,NaN,,3.85,AUST,WA,NaN,3.96,MW,3.96,MW,Ghasemi et al (2016),4.28,NaN,3.86,3.96,Ghasemi et al (2016),"31 km WSW of Tennant Creek; NT"
2016-04-28 16:52:44,736448.7033,local,0,133.967,-19.792,7,USGS,3.75,Ghasemi et al (2016),3.59,AUST,4.4,USGS,3.95,AUST,WA,NaN,3.75,MW,3.75,MW,Ghasemi et al (2016),4.31,4.11,3.94,3.75,Ghasemi et al (2016),"29 km SW of Tennant Creek; NT"
2016-05-16 20:13:20,736466.8426,local,1,128.602,-22.904,10,AUST,4.15,Ghasemi et al (2016),3.8,AUST,NaN,,3.7,AUST,WA,NaN,4.15,MW,4.15,MW,Ghasemi et al (2016),4.42,NaN,3.74,4.15,Ghasemi et al (2016),"28 km S of Lake Mackay; WA"
2016-05-20 18:14:02,736470.7597,local,2,129.832,-25.579,0,AUST,6.09,Ghasemi et al (2016),6.38,AUST,NaN,,6.14,AUST,WA,NaN,6.09,MW,6.09,MW,Ghasemi et al (2016),6.41,NaN,5.91,6.09,Ghasemi et al (2016),"6 km WNW of RDK5; Petermann Ranges; NT"
2016-05-21 08:46:18,736471.3655,local,0,129.837,-25.601,0,AUST,3.8,Ghasemi et al (2016),3.85,AUST,NaN,,4.09,AUST,WA,NaN,3.80,MW,3.80,MW,Ghasemi et al (2016),4.45,NaN,4.06,3.80,Ghasemi et al (2016),"Petermann Ranges; NT"
2016-05-21 09:08:34,736471.3809,local,0,129.891,-25.519,0,AUST,3.77,Ghasemi et al (2016),3.81,AUST,NaN,,3.86,AUST,WA,NaN,3.77,MW,3.77,MW,Ghasemi et al (2016),4.43,NaN,3.87,3.77,Ghasemi et al (2016),"Petermann Ranges; NT"
2016-05-21 11:08:31,736471.4642,local,0,129.894,-25.512,0,AUST,3.98,Ghasemi et al (2016),3.6,AUST,NaN,,3.49,AUST,WA,NaN,3.98,MW,3.98,MW,Ghasemi et al (2016),4.31,NaN,3.58,3.98,Ghasemi et al (2016),"Petermann Ranges; NT"
2016-05-28 15:30:26,736478.6461,local,0,122.466,-32.497,0,AUST,4.71,Ghasemi et al (2016),4.69,AUST,NaN,,4.95,AUST,WA,NaN,4.71,MW,4.71,MW,Ghasemi et al (2016),4.99,NaN,4.79,4.71,Ghasemi et al (2016),"49 km ESE of Norseman; WA"
2016-06-08 02:01:09,736489.0841,local,0,122.493,-32.506,0,AUST,4.08,Ghasemi et al (2016),4.29,AUST,NaN,,4.35,AUST,WA,NaN,4.08,MW,4.08,MW,Ghasemi et al (2016),4.72,NaN,4.27,4.08,Ghasemi et al (2016),"59 km ESE of Norseman; WA"
2016-07-08 09:40:52,736519.4034,local,2,122.346,-32.541,10,USGS,4.97,Ghasemi et al (2016),5.02,AUST,5.2,USGS,5.59,AUST,WA,NaN,4.97,MW,4.97,MW,Ghasemi et al (2016),5.24,5.07,5.38,4.97,Ghasemi et al (2016),"65 km SE of Norseman; WA"
2016-08-06 21:16:34,736548.8865,local,0,129.8618,-25.588,3.45,GG,3.8,Ghasemi et al (2016),3.21,AUST,NaN,,3.43,AUST,WA,NaN,3.80,MW,3.80,MW,Ghasemi et al (2016),4.11,NaN,3.53,3.80,Ghasemi et al (2016),"3.4 km NW of RDK5; Petermann Ranges"

