SRC_NAME,CODE,SRC_TYPE,SRC_WEIGHT,DEP_BEST,DEP_UPPER,DEP_LOWER,MIN_MAG,MIN_RMAG,MMAX_BEST,MMAX_LOWER,MMAX_UPPER,N0_BEST,N0_LOWER,N0_UPPER,BVAL_BEST,BVAL_LOWER,BVAL_UPPER,BVAL_FIX,BVAL_FIX_S,YCOMP,MCOMP,YMAX,TRT,DOMAIN,CAT_FILE
Carpenteria,CPT,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,40.72618,25.54329,53.32878,0.819,0.891,0.747,0.819,0.072,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3,AUSTCAT_V0.12_hmtk_declustered.csv
Clarence Moreton,CLM,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,535.2867,754.0025,355.4181,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Cobar,COB,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,5493.249,12199.98,2424.142,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Coen Block,CON,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,96.59411,34.94594,152.4279,0.819,0.891,0.747,0.819,0.072,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3,AUSTCAT_V0.12_hmtk_declustered.csv
Coorong,COO,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,1359.397,2395.841,756.3759,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Copeton,COP,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,4159.386,8932.220,1898.270,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Dalton,DAL,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,4001.834,8593.878,1826.366,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Darnum,DAR,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,827.9615,1267.822,514.7356,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Deddick,DED,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,1450.859,2523.961,803.4146,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Denison,DEN,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,4235.535,9133.138,1926.192,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Drummond,DMD,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,6980.058,16032.05,2978.433,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
East Sydney Basin,ESB,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,897.6190,1352.316,557.2436,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
East Tasmania,ETA,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,1314.069,2285.997,727.6669,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Eastern Highlands,EHI,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,2562.854,4931.525,1283.034,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Eucla,EUC,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,259.7735,296.7237,219.0832,0.819,0.891,0.747,0.819,0.072,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3,AUSTCAT_V0.12_hmtk_declustered.csv
Eucumbene,EBN,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,708.5810,998.1041,470.4815,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Exmouth Plateau,EXP,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,426.0300,683.5408,258.6818,0.835,0.943,0.727,0.835,0.108,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2011,Extended,7,AUSTCAT_V0.12_hmtk_declustered.csv
Flinders Island,FLI,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,66.03151,49.90620,71.75286,0.835,0.943,0.727,0.835,0.108,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2011,Extended,7,AUSTCAT_V0.12_hmtk_declustered.csv
Forbes-Tumut,FBT,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,1696.849,3185.469,885.8744,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Gascoyne,GAS,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,307.9856,363.6535,251.2723,0.819,0.891,0.747,0.819,0.072,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3,AUSTCAT_V0.12_hmtk_declustered.csv
Georgetown Block,GTB,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,45.90717,14.78858,81.35691,0.819,0.891,0.747,0.819,0.072,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3,AUSTCAT_V0.12_hmtk_declustered.csv
Georgina Basin,GGB,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,45.90717,14.78858,81.35691,0.819,0.891,0.747,0.819,0.072,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3,AUSTCAT_V0.12_hmtk_declustered.csv
Gippsland,GIP,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,123.0233,145.5244,99.00602,0.835,0.943,0.727,0.835,0.108,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2011,Extended,7,AUSTCAT_V0.12_hmtk_declustered.csv
Grampians,GPN,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,531.4358,654.2596,389.0014,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Gunnedah,GNH,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,4124.203,8713.432,1812.617,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Halls Creek,HLC,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,321.9922,391.3538,258.0899,0.819,0.891,0.747,0.819,0.072,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3,AUSTCAT_V0.12_hmtk_declustered.csv
Hamersley,HAM,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,66.79855,54.04635,74.39907,0.819,0.891,0.747,0.819,0.072,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3,AUSTCAT_V0.12_hmtk_declustered.csv
Heathcote,HEA,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,1550.803,2626.667,871.6270,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Hodgkinson Foldbelt,HKF,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,5306.798,11430.27,2400.260,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Hume,HUM,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,1174.853,1976.246,672.8185,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Illawarra,IWA,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,1e-30,-99.0,-99.0,1.208,-99.0,-99.0,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Kangaroo Island,KGI,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,673.2194,1030.872,418.5339,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Mt Lofty Ranges,MLR,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,2116.282,3937.594,1095.690,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Kimberley,KIM,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,179.0182,203.6205,153.3285,0.819,0.891,0.747,0.819,0.072,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3,AUSTCAT_V0.12_hmtk_declustered.csv
Korumba Basin,KBB,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,1e-30,-99.0,-99.0,0.819,-99.0,-99.0,0.819,0.072,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3,AUSTCAT_V0.12_hmtk_declustered.csv
Laura Basin,LRB,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,354.2905,338.1137,304.8930,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Leigh Creek,LEC,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,7816.688,18371.39,3276.867,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Mackay,MAC,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,7403.814,17586.75,3054.810,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Mallacoota,MAL,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,1958.868,3524.216,1048.864,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Gladstone,GLD,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,148.6220,189.4224,111.0087,0.835,0.943,0.727,0.835,0.108,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2011,Extended,7,AUSTCAT_V0.12_hmtk_declustered.csv
McArthur,MCA,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,135.4190,129.5883,132.3527,0.819,0.891,0.747,0.819,0.072,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3,AUSTCAT_V0.12_hmtk_declustered.csv
Merimbula,MIM,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,1174.853,1976.246,672.8185,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Merredin,MER,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,781.1655,1149.226,501.4838,0.819,0.891,0.747,0.819,0.072,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3,AUSTCAT_V0.12_hmtk_declustered.csv
Mornington,MTN,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,116.0876,129.5007,97.32829,0.835,0.943,0.727,0.835,0.108,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2011,Extended,7,AUSTCAT_V0.12_hmtk_declustered.csv
Mt Isa,MIS,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,1e-30,-99.0,-99.0,0.819,-99.0,-99.0,0.819,0.072,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3,AUSTCAT_V0.12_hmtk_declustered.csv
Murray Darling,MDG,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,959.3198,1083.095,697.8328,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Murray Shelf,MYS,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,2751.248,5154.400,1397.989,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Musgrave Block,MUS,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,261.0342,306.9174,216.2833,0.819,0.891,0.747,0.819,0.072,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3,AUSTCAT_V0.12_hmtk_declustered.csv
Naturaliste Plateau,NLP,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,594.9924,379.8022,532.1393,0.835,0.943,0.727,0.835,0.108,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2011,Extended,7,AUSTCAT_V0.12_hmtk_declustered.csv
Newcastle,NEW,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,2405.301,4628.357,1204.159,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
North Sydney Basin,NSB,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,3191.934,6558.027,1530.699,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
North West Shelf,NWS,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,421.1447,675.7025,255.7155,0.835,0.943,0.727,0.835,0.108,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2011,Extended,7,AUSTCAT_V0.12_hmtk_declustered.csv
Officer Basin,OFB,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,321.9922,391.3538,258.0899,0.819,0.891,0.747,0.819,0.072,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3,AUSTCAT_V0.12_hmtk_declustered.csv
Ord,ORD,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,206.5949,234.9870,176.9478,0.819,0.891,0.747,0.819,0.072,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3,AUSTCAT_V0.12_hmtk_declustered.csv
Otway Basin East,OBE,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,66.03151,49.90620,71.75286,0.835,0.943,0.727,0.835,0.108,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2011,Extended,7,AUSTCAT_V0.12_hmtk_declustered.csv
Otway Basin West,OBW,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,184.2492,257.1682,129.4484,0.835,0.943,0.727,0.835,0.108,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2011,Extended,7,AUSTCAT_V0.12_hmtk_declustered.csv
Otway Ranges,OTR,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,41.30070,30.44813,46.00927,0.835,0.943,0.727,0.835,0.108,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2011,Extended,7,AUSTCAT_V0.12_hmtk_declustered.csv
Otway Shelf,OTS,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,216.1999,301.7639,151.8961,0.835,0.943,0.727,0.835,0.108,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2011,Extended,7,AUSTCAT_V0.12_hmtk_declustered.csv
Outer North West Shelf,ONS,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,751.6862,1345.390,411.8393,0.835,0.943,0.727,0.835,0.108,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2011,Extended,7,AUSTCAT_V0.12_hmtk_declustered.csv
Ovens Valley Graben,OVG,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,1e-30,-99.0,-99.0,1.208,-99.0,-99.0,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Perth Basin,PTB,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,180.1288,235.3593,131.2372,0.835,0.943,0.727,0.835,0.108,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2011,Extended,7,AUSTCAT_V0.12_hmtk_declustered.csv
Pilbara,PIL,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,434.2479,555.5836,332.8350,0.819,0.891,0.747,0.819,0.072,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3,AUSTCAT_V0.12_hmtk_declustered.csv
Pine Creek,PNC,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,156.4342,167.2203,140.9762,0.819,0.891,0.747,0.819,0.072,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3,AUSTCAT_V0.12_hmtk_declustered.csv
Port Phillip,PPL,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,141.7879,182.6402,106.0360,0.835,0.943,0.727,0.835,0.108,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2011,Extended,7,AUSTCAT_V0.12_hmtk_declustered.csv
Renmark,REN,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,2186.956,4201.065,1121.698,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Richmond,RMD,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,62.96664,40.15261,81.09582,0.819,0.891,0.747,0.819,0.072,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3,AUSTCAT_V0.12_hmtk_declustered.csv
Shark Bay,SKB,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,578.5165,975.5286,334.2269,0.835,0.943,0.727,0.835,0.108,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2011,Extended,7,AUSTCAT_V0.12_hmtk_declustered.csv
Southern New England,SNE,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,611.6037,861.5022,406.0908,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Stawell,SWL,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,1e-30,-99.0,-99.0,1.208,-99.0,-99.0,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Strzelecki Ranges,SZR,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,220.6128,313.8977,149.3637,0.835,0.943,0.727,0.835,0.108,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2011,Extended,7,AUSTCAT_V0.12_hmtk_declustered.csv
Surat,SRT,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,7818.238,18010.80,3306.241,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Sydney Coast,SYC,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,33.01575,12.19459,51.03113,0.835,0.943,0.727,0.835,0.108,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2011,Extended,7,AUSTCAT_V0.12_hmtk_declustered.csv
Tabberabbera,TAB,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,836.6299,493.7186,809.3704,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Tamworth Terrane,TAM,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,3016.134,6196.834,1446.394,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Thomson,TOM,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,1382.464,2404.979,765.5407,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
Timor Sea,TRS,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,520.5142,899.8225,293.3312,0.835,0.943,0.727,0.835,0.108,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2011,Extended,7,AUSTCAT_V0.12_hmtk_declustered.csv
Venus Bay,VNB,area,1.0,10.0,5.0,15.0,4.5,4.0,7.7,7.5,7.9,108.9635,118.5680,93.65571,0.835,0.943,0.727,0.835,0.108,2000;1990;1970;1963,3.0;3.5;5.0;6.0,2011,Extended,7,AUSTCAT_V0.12_hmtk_declustered.csv
Warburton,WAR,area,1.0,5.0,2.5,10.0,4.5,4.0,7.5,7.3,7.7,185.8936,208.8439,159.3965,0.819,0.891,0.747,0.819,0.072,1985;1965;1940,3.5;4.2;6.4,2011,Cratonic,3,AUSTCAT_V0.12_hmtk_declustered.csv
West Sydney Basin,WSB,area,1.0,10.0,5.0,15.0,4.5,4.0,7.5,7.3,7.7,5177.831,11020.59,2343.484,1.208,1.354,1.062,1.208,0.146,1990;1980;1965,3.0;3.5;4.0,2011,Non_cratonic,4,AUSTCAT_V0.12_hmtk_declustered.csv
